AOBT,SCLK,LMST,LTST,UTC,PRESSURE,PRESSURE_FREQUENCY,PRESSURE_TEMP,PRESSURE_TEMP_FREQUENCY
599150486.500,599150472.899,00030M01:40:27.881,00030 00:50:55,2018-361T02:41:41.251Z,744.7798,2.0,,
599150487.000,599150473.399,00030M01:40:28.367,00030 00:50:55,2018-361T02:41:41.751Z,744.8189,2.0,,
599150487.500,599150473.899,00030M01:40:28.854,00030 00:50:55,2018-361T02:41:42.251Z,744.8023,2.0,,
599150488.000,599150474.399,00030M01:40:29.341,00030 00:50:56,2018-361T02:41:42.751Z,744.7585,2.0,,
599150488.500,599150474.899,00030M01:40:29.827,00030 00:50:56,2018-361T02:41:43.251Z,744.7683,2.0,,
599150489.000,599150475.399,00030M01:40:30.314,00030 00:50:57,2018-361T02:41:43.751Z,744.7787,2.0,,
599150489.500,599150475.899,00030M01:40:30.801,00030 00:50:57,2018-361T02:41:44.251Z,744.7998,2.0,281.1711,0.2
599150490.000,599150476.399,00030M01:40:31.287,00030 00:50:58,2018-361T02:41:44.751Z,744.8246,2.0,,
599150490.500,599150476.899,00030M01:40:31.774,00030 00:50:58,2018-361T02:41:45.251Z,744.7713,2.0,,
599150491.000,599150477.399,00030M01:40:32.260,00030 00:50:59,2018-361T02:41:45.751Z,744.7561,2.0,,
599150491.500,599150477.899,00030M01:40:32.747,00030 00:50:59,2018-361T02:41:46.251Z,744.7848,2.0,,
599150492.000,599150478.399,00030M01:40:33.234,00030 00:51:00,2018-361T02:41:46.751Z,744.7870,2.0,,
599150492.500,599150478.899,00030M01:40:33.720,00030 00:51:00,2018-361T02:41:47.251Z,744.7921,2.0,,
599150493.000,599150479.399,00030M01:40:34.207,00030 00:51:01,2018-361T02:41:47.751Z,744.7919,2.0,,
599150493.500,599150479.899,00030M01:40:34.694,00030 00:51:01,2018-361T02:41:48.251Z,744.7972,2.0,,
